anio;semana;valor
1920;1;100.35739476812552
1920;2;100.73138503837484
1920;3;100.9735080423071
1920;4;100.68783867842748
1920;5;100.89093620873632
1920;6;100.5926430214095
1920;7;100.97935600014068
1920;8;100.08937818308704
1920;9;100.52456824319282
1920;10;200.67096807684467
1920;11;200.96071894376402
1920;12;200.85959034175235
1920;13;200.52197321638268
1920;14;200.15688412158673
1920;15;200.37145196026825
1920;16;200.2662175514438
1920;17;200.53337155812
1920;18;200.36383141675063
1920;19;200.4937940449542
1920;20;200.36921896524538
1920;21;200.35147326238774
1920;22;200.90546579466813
1920;23;200.26682770466826
1920;24;200.7125846718866
1920;25;200.8032130170256
1920;26;226.97201770238973
1920;27;113.37302847963294
1920;28;139.61327287715017
1920;29;-11.027905427158032
1920;30;267.0792268279903
1920;31;204.91714347092392
1920;32;218.43347310304358
1920;33;154.290839299362
1920;34;381.4416060153664
1920;35;403.9480403876306
1920;36;180.5355416145564
1920;37;254.46867604312186
1920;38;-63.70035328994163
1920;39;219.12464942568735
1920;40;312.01438703554936
1920;41;244.22909436689224
1920;42;249.13521171051926
1920;43;305.15315918742255
1920;44;264.96934598879733
1920;45;279.9344409553343
1920;46;177.93613169768884
1920;47;200.87438445796536
1920;48;92.82991268223259
1921;1;245.82464561317857
1921;2;222.08844575739204
1921;3;357.93284846736685
1921;4;223.55539852675017
1921;5;23.879672278502795
1921;6;110.70757625409526
1921;7;125.97359678886487
1921;8;390.2158402319088
1921;9;292.4444779934229
1921;10;187.026731689872
1921;11;204.5333458880431
1921;12;183.70667984354503
1921;13;219.14950832031417
1921;14;252.33536055708868
1921;15;164.78635635545845
1921;16;269.1357760029515
1921;17;165.4105758355224
1921;18;211.3886558452041
1921;19;151.63084916159679
1921;20;268.6998718366282
1921;21;277.72512237881085
1921;22;259.35713231288673
1921;23;232.98353347312553
1921;24;287.87631946614937
1921;25;215.69196655574805
1921;26;125.47782954989836
1921;27;144.60130178045182
1921;28;149.34834858301207
1921;29;267.110407359093
1921;30;116.20477223867779
1921;31;79.14729345899569
1921;32;217.3516999653167
1921;33;176.67962096600482
1921;34;93.76067440673441
1921;35;215.96181467249085
1921;36;251.1283569094981
1921;37;264.5384774089974
1921;38;101.39470281418932
1921;39;98.8180139998752
1921;40;102.76668797686156
1921;41;275.2755405485495
1921;42;273.3769179305023
1921;43;61.61004629622499
1921;44;323.08003685301264
1921;45;175.59154207357875
1921;46;343.4843597409414
1921;47;91.95065620585177
1921;48;204.8633519398396
1922;1;48.57269537038363
1922;2;257.1656029485357
1922;3;153.70979785971713
1922;4;164.52768277025672
1922;5;306.6522591250148
1922;6;105.71604493096557
1922;7;290.9543205062513
1922;8;302.2976849640323
1922;9;401.18227445026696
1922;10;223.5475294895177
1922;11;107.0383059945279
1922;12;147.83818723404016
1922;13;183.89266920542357
1922;14;119.55149970153195
1922;15;123.04645857526731
1922;16;-0.18184982241069747
1922;17;213.79685557537053
1922;18;27.108246946302614
1922;19;212.66637541875053
1922;20;64.2389592532812
1922;21;308.88645295618704
1922;22;171.2773615612147
1922;23;89.36724984647533
1922;24;159.02970122245495
1922;25;174.65936249332142
1922;26;290.4139850946177
1922;27;-0.3804790376373717
1922;28;273.9959861339749
1922;29;180.50948575589894
1922;30;407.8624855296789
1922;31;252.05114626630152
1922;32;295.3786105174921
1922;33;79.52824349556971
1922;34;286.3482976469979
1922;35;356.7810460099578
1922;36;136.99297125846
1922;37;222.37068962063324
1922;38;457.2312416558163
1922;39;175.8607067842535
1922;40;372.44003100512924
1922;41;207.78060949837268
1922;42;273.90603300120455
1922;43;347.8720906879988
1922;44;160.15912956743438
1922;45;238.48788506047487
1922;46;157.23585290563346
1922;47;321.33559422640406
1922;48;198.30734222082776
1923;1;143.5117015544295
1923;2;79.28667831880982
1923;3;224.35449305846498
1923;4;137.0639395186281
1923;5;111.73157107754105
1923;6;273.503772514838
1923;7;209.8718481397902
1923;8;221.38239163949203
1923;9;83.47044677486697
1923;10;237.6388428086238
1923;11;66.17547867649355
1923;12;284.93692290884644
1923;13;185.60946369202432
1923;14;239.27507841893194
1923;15;125.85307285694188
1923;16;247.74384584490883
1923;17;68.03095455128863
1923;18;117.88038131289683
1923;19;445.7211472672428
1923;20;334.61562213969023
1923;21;404.9228067530619
1923;22;287.47601887304586
1923;23;121.03306870775921
1923;24;187.50774990689058
1923;25;336.20439378461134
1923;26;158.2823844118886
1923;27;326.6261119595343
1923;28;222.40227233373963
1923;29;140.331472555379
1923;30;216.14169442468955
1923;31;138.41806084997302
1923;32;298.5130523158073
1923;33;243.7161313522925
1923;34;103.73177368612431
1923;35;179.0640926181994
1923;36;341.3242800280592
1923;37;96.50695860016822
1923;38;51.15122098268458
1923;39;351.50380479463206
1923;40;151.62279898734556
1923;41;197.73235815545405
1923;42;191.48986047350166
1923;43;93.37850145715831
1923;44;237.7325495806557
1923;45;188.69971368165452
1923;46;112.48221632824283
1923;47;282.7757991582527
1923;48;166.09526841504447
1924;1;261.86927668580284
1924;2;3.269140635924515
1924;3;124.0773068897018
1924;4;273.551130108259
1924;5;240.84842970555582
1924;6;186.10972135755958
1924;7;107.81982795029211
1924;8;34.7713297312786
1924;9;312.53885898719835
1924;10;152.10876696503962
1924;11;272.4396334376889
1924;12;189.54486964152565
1924;13;159.3163953988268
1924;14;95.75159620110969
1924;15;48.69374525755225
1924;16;60.19934365046524
1924;17;292.0653747126745
1924;18;61.90876204799264
1924;19;250.259403438704
1924;20;168.79480438612808
1924;21;38.007687335220226
1924;22;323.2566466237042
1924;23;-6.611213608826944
1924;24;197.13379610278068
1924;25;209.04219143299605
1924;26;284.32990775146254
1924;27;88.13506271925216
1924;28;211.33337284625563
1924;29;265.1687403172983
1924;30;137.5687279220138
1924;31;159.1806029337304
1924;32;181.8557726126923
1924;33;40.037739472081256
1924;34;194.0898610459052
1924;35;118.69551540690127
1924;36;248.40610262340647
1924;37;346.7881980244649
1924;38;210.7646185466186
1924;39;323.8283792545345
1924;40;139.45789597438082
1924;41;75.29083177133377
1924;42;119.21439278779495
1924;43;233.59561210059005
1924;44;179.67979569087464
1924;45;382.74870689249985
1924;46;22.54518689852162
1924;47;150.52441571698145
1924;48;-32.673912172511024
1925;1;133.8851101849308
1925;2;257.5953760746032
1925;3;135.35474875132996
1925;4;237.26250220943646
1925;5;42.79004575889695
1925;6;134.34091141556507
1925;7;216.48850330808435
1925;8;200.26884931732013
1925;9;206.76133118876527
1925;10;211.26634842963693
1925;11;380.5407178397784
1925;12;16.89109336167266
1925;13;92.98079181947773
1925;14;274.99483301857634
1925;15;280.5261708258444
1925;16;-41.656897175196576
1925;17;235.13925360873043
1925;18;248.5202258356238
1925;19;163.4310594308424
1925;20;-101.0155000579673
1925;21;56.70561344604647
1925;22;193.21413679616617
1925;23;53.32964734600753
1925;24;179.02755569897843
1925;25;164.85722390406596
1925;26;154.27344291989172
1925;27;122.08370607951916
1925;28;323.94265546776705
1925;29;230.76362612627025
1925;30;53.348647167410235
1925;31;215.6883751678884
1925;32;152.8882538729858
1925;33;38.22985175430014
1925;34;269.160565198872
1925;35;-65.44840483259617
1925;36;298.7561063355593
1925;37;92.37028293820254
1925;38;313.8363790309252
1925;39;289.1864198640055
1925;40;-37.78481713441627
1925;41;193.01777091792684
1925;42;98.6090230432821
1925;43;201.78896767193208
1925;44;216.9355530724404
1925;45;409.17889177439145
1925;46;200.7328135474348
1925;47;173.65833301277485
1925;48;381.38292509486433
1926;1;257.40419467086474
1926;2;209.61250848146835
1926;3;255.87055443663098
1926;4;299.44887869449434
1926;5;79.32758250534432
1926;6;167.3832818261503
1926;7;219.07572894527817
1926;8;22.226588892581503
1926;9;141.05797832379932
1926;10;255.84231397159226
1926;11;234.68320500936468
1926;12;85.42913974596446
1926;13;228.4478815562687
1926;14;133.2440734625293
1926;15;273.94750272035844
1926;16;389.6465302086443
1926;17;138.2700194951408
1926;18;187.7912778719383
1926;19;209.02741940550519
1926;20;60.44002115179978
1926;21;286.90884597370183
1926;22;187.66408175294683
1926;23;221.51851940498508
1926;24;59.458489278892955
1926;25;268.7095005991752
1926;26;18.28189918811063
1926;27;78.66740093913664
1926;28;135.5903355368049
1926;29;119.03777755486655
1926;30;224.4011375629553
1926;31;390.5862280201063
1926;32;190.90539805743595
1926;33;226.30229058271942
1926;34;215.16133218867918
1926;35;162.90547196410145
1926;36;217.82746223155314
1926;37;167.3505416398141
1926;38;133.92961450903343
1926;39;103.30478087755708
1926;40;96.33218436428118
1926;41;303.8692551388215
1926;42;252.6101543507571
1926;43;264.04443224863087
1926;44;137.30413512375313
1926;45;286.0290583963458
1926;46;126.57295544093111
